case no. in WK,win/loss,year,issue,us p/d,case official no.,case name
371,0,2017,trademark,p,(2017)京73行初3528号, 美国航空公司与国家工商行政管理总局商标评审委员会一审行政判决书 
372,1,2017,trademark,p,(2017)京73行初2854号,美国银行公司与国家工商行政管理总局商标评审委员会一审行政判决书
373,1,2017,trademark,p,(2017)京73行初2953号,美国柏斯特啤酒有限责任公司与国家工商行政管理总局商标评审委员会一审行政判决书
375,0,2017,contract,p,(2017)粤2071民初5875号,美国加州品味与何美娟买卖合同纠纷一审民事判决书
379,0,2017,trademark,p,(2017)京73行初2843号,UTC消防安全美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
382,0,2017,trademark,p,(2017)京73行初1258号,美国雅诚健康有限公司诉国家工商行政管理总局商标评审委员会其他一案一审行政判决书
10,1,2016,trademark,p,(2016)京0105民初33338号,
84,1,2016,copyright,p,(2016)沪0104民初16755号,美国特许金融分析师协会与上海道明诚教育科技发展有限公司、余润著作权权属、侵权纠纷一审民事判决书
88,0,2016,trademark,p,(2016)京73行初1769号,雅孚顿（美国）国际石油集团有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
89,0,2016,trademark,p,(2016)京73行初1768号,雅孚顿（美国）国际石油集团有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
222,0,2016,trademark,p,(2016)京73行初5711号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
223,0,2016,trademark,p,(2016)京73行初5721号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
224,0,2016,trademark,p,(2016)京73行初5726号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
225,0,2016,trademark,p,(2016)京73行初5725号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
226,0,2016,trademark,p,(2016)京73行初5715号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
227,0,2016,trademark,p,(2016)京73行初5722号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
228,0,2016,trademark,p,(2016)京73行初5716号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
229,0,2016,trademark,p,(2016)京73行初5719号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
230,0,2016,trademark,p,(2016)京73行初5727号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
231,0,2016,trademark,p,(2016)京73行初5729号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
232,0,2016,trademark,p,(2016)京73行初5728号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
233,0,2016,trademark,p,(2016)京73行初5723号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
234,0,2016,trademark,p,(2016)京73行初5724号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
235,0,2016,trademark,p,(2016)京73行初5718号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
236,0,2016,trademark,p,(2016)京73行初5710号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
237,0,2016,trademark,p,(2016)京73行初5730号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
238,0,2016,trademark,p,(2016)京73行初5717号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
239,0,2016,trademark,p,(2016)京73行初5712号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
240,0,2016,trademark,p,(2016)京73行初5714号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
241,0,2016,trademark,p,(2016)京73行初5732号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
242,0,2016,trademark,p,(2016)京73行初5713号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
243,0,2016,trademark,p,(2016)京73行初5720号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
244,0,2016,trademark,p,(2016)京73行初5731号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
307,1,2016,trademark,p,(2016)京73行初6943号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
308,0,2016,trademark,p,(2016)京73行初5975号,国家工商行政管理总局商标评审委员会一审行政判决书
309,0,2016,trademark,p,(2016)京73行初5974号, 国家工商行政管理总局商标评审委员会一审行政判决书 
317,1,2016,trademark,p,(2016)京73行初1193号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
318,1,2016,trademark,p,(2016)京73行初799号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
319,1,2016,trademark,p,(2016)京73行初800号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
320,1,2016,trademark,p,(2016)京73行初1589号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
321,1,2016,trademark,p,(2016)京73行初795号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
322,1,2016,trademark,p,(2016)京73行初796号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
323,1,2016,trademark,p,(2016)京73行初794号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
324,1,2016,trademark,p,(2016)京73行初798号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
330,0,2016,trademark,p,(2016)京73行初1807号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
331,1,2016,trademark,p,(2016)京73行初4739号,美国水化工有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
340,0,2016,trademark,p,(2016)京73行初5144号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
358,1,2016,trademark,p,(2016)京73行初5145号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
364,0,2016,copyright,d,(2016)京0101民初7256号,中文在线数字出版集团股份有限公司与美国苹果公司侵害作品信息网络传播权纠纷案
365,0,2016,copyright,d,(2016)京0101民初7257号,中文在线数字出版集团股份有限公司与美国苹果公司侵害作品信息网络传播权纠纷案
367,1,2016,trademark,p,(2016)京73行初3470号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
368,1,2016,trademark,p,(2016)京73行初3471号, 菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书 
369,1,2016,trademark,p,(2016)京73行初3469号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
370,1,2016,trademark,p,(2016)京73行初3467号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
374,1,2016,trademark,p,(2016)京73行初384号,美国儿科学会与国家工商行政管理总局商标评审委员会一审行政判决书
376,1,2016,trademark,p,(2016)京73行初2677号,美国力得管道工具公司与国家工商行政管理总局商标评审委员会一审行政判决书
383,0,2016,contract,p,(2016)粤72民初964号,（美国）集成船务代理有限公司诉深圳市港中旅华贸国际物流有限公司海上货运代理合同纠纷案
396,0,2016,trademark,p,(2016)京73行初3452号,新梦奇美国有限公司诉国家工商行政管理总局商标评审委员会其他一案一审行政判决书
397,1,2016,trademark,p,(2016)京73行初1928号,美国世多乐集团公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
398,1,2016,trademark,p,(2016)京73行初3255号,美国远程会议服务有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
399,0,2016,trademark,p,(2016)京73行初3254号,美国远程会议服务有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
400,0,2016,contract,d,(2016)豫01民初121号,郝悦彤与全美国际交流中心合同纠纷一审民事判决书
221,0,2015,trademark,p,(2015)京知行初字第4155号,美国扑克牌公司与国家工商行政管理总局商标评审委员会一审行政判决书
245,1,2015,trademark,p,年京知行初字第04013号,美国俱乐部与中国美国商会等一审行政判决书
246,1,2015,trademark,p,(2015)京知行初字第4015号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
247,1,2015,trademark,p,2015年京知行初字第04013号,美国俱乐部与中国美国商会等一审行政判决书
332,1,2015,trademark,p,(2015)京知行初字第4531号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
348,0,2015,trademark,p,(2015)京知行初字第4157号,美国扑克牌公司与国家工商行政管理总局商标评审委员会一审行政判决书
349,0,2015,trademark,p,(2015)京知行初字第3368号,美国扑克牌公司与国家工商行政管理总局商标评审委员会一审行政判决书
350,0,2015,trademark,p,(2015)京知行初字第4156号,美国扑克牌公司与国家工商行政管理总局商标评审委员会一审行政判决书
395,0,2015,trademark,p,(2015)京知行初字第3322号,美国骆驼国际有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
403,1,2015,trademark,p,(2015)京知行初字第3665号,美国联邦医学研究院有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
404,1,2015,trademark,p,(2015)京知行初字第3669号,美国联邦医学研究院有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
405,1,2015,trademark,p,(2015)京知行初字第3663号,美国联邦医学研究院有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
406,1,2015,trademark,p,(2015)京知行初字第3664号,美国联邦医学研究院有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
408,0,2015,trademark,p,(2015)京知行初字第5661号,美国威嘉律师事务所与国家工商行政管理总局商标评审委员会其他一审行政判决书
409,0,2015,trademark,p,(2015)京知行初字第4831号,美国男童军诉国家工商行政管理总局商标评审委员会其他一案
410,0,2015,trademark,p,(2015)京知行初字第4834号,美国男童军诉国家工商行政管理总局商标评审委员会其他一案
411,0,2015,trademark,p,(2015)京知行初字第4833号,美国男童军诉国家工商行政管理总局商标评审委员会其他一案
412,0,2015,trademark,p,(2015)京知行初字第4832号,美国男童军诉国家工商行政管理总局商标评审委员会其他一案
413,0,2015,trademark,p,(2015)京知行初字第2127号,美国福赛气流科技有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
414,0,2015,trademark,p,(2015)京知行初字第1539号,美国信安国际律师事务所与国家工商行政管理总局商标评审委员会其他一审行政判决书
415,0,2015,trademark,p,(2015)京知行初字第1351号,美国通用磨坊食品公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
393,1,2014,contract,d,(2014)广海法初字第444号,中国平安财产保险股份有限公司广东分公司与美国总统轮船有限公司、商船三井株式会社海上货物运输合同纠纷案
401,1,2014,trademark,p,(2014)一中知行初字第5477号,美国蒂芙尼公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
416,0,2014,trademark,p,(2014)一中知行初字第4844号,美国雅培制药有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
91,1,2013,copyright,p,(2013)长民三初字第326号,磊若软件公司（美国）与吉林信达金都置业有限公司、长春市艾迪索思科技有限公司、郑州普科信息技术有限公司侵害计算机软件著作权纠纷一审民事判决书
417,0,2013,contract,p,(2013)沪海法商初字第1620号,美亚财产保险有限公司上海分公司与美国浦东货运有限公司海上货物运输合同纠纷案
418,1,2013,contract,d,(2013)广海法初字第552号,台一江铜（广州）有限公司与美国总统轮船有限公司、美国总统轮船（中国）有限公司、乐文船务有限公司、广州市乐文船务有限公司、深圳市乐文国际货运代理有限公司广州分公司海上货物运输合同
419,1,2013,contract,d,(2013)徐民二(商)初字第244号,上海长天国际贸易有限公司与美国无纺布集团公司买卖合同纠纷案
421,1,2013,contract,d,(2013)沪海法商初字第2号,江阴岚富时装有限公司与上海浦东国际货运有限公司、美国浦东货运有限公司、上海浦东幸运船务有限公司侵权损害赔偿纠纷案
422,0,2013,trademark,p,(2013)一中知行初字第781号,美国远程会议服务有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
423,0,2013,trademark,p,(2013)一中知行初字第842号,美国光学学会公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
420,1,2012,contract,p,(2012)常商外初字第20号,美国东泰集团与常州金冠物资再生有限公司国际货物买卖合同纠纷一审民事判决书
425,1,2012,trademark,p,(2012)一中知行初字第2982号,美国史密斯国际集团有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标争议行政纠纷案
426,0,2012,trademark,p,(2012)一中知行初字第3555号,花花公子企业国际有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
427,0,2012,trademark,p,(2012)一中知行初字第211号,美国体育用品公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
428,1,2012,trademark,p,(2012)一中知行初字第1749号,美国通用磨房食品公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
429,1,2012,trademark,p,(2012)一中知行初字第957号,美国瑞仑塑造科技有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
430,0,2012,trademark,p,(2012)一中知行初字第757号,商异 格莱特
431,1,2012,contract,d,(2012)广海法初字第387号,美亚财产保险有限公司广东分公司与美国总统轮船有限公司海上货物运输合同纠纷案
432,0,2012,trademark,p,(2012)一中知行初字第503号,斯凯杰美国公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
436,1,2012,competition,p,(2010)一中民初字第17669号,美国石油学会与北京北方资讯服务中心、北京松木屋科技发展有限公司不正当竞争纠纷案
437,0,2012,corporate,d,(2012)闵民二(商)初字第S407号,上海A电力机械装备有限公司与美国B保温材料集团公司中外合资经营企业合同纠纷案
438,0,2012,trademark,p,(2012)一中知行初字第1573号,美国棉花公司诉商标评审委员会商标驳回
439,0,2012,trademark,p,(2012)一中知行初字第985号,美国科特玻璃功能膜公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
424,0,2011,contract,d,(2011)沪海法商初字第1324号,深圳市华运国际物流有限公司与美国博恩有限公司、江都市尚立对外贸易有限公司海上货物运输合同纠纷案
442,0,2011,trademark,p,(2011)一中知行初字第1443号,斯凯杰美国公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
443,0,2011,trademark,p,(2011)一中知行初字第2363号,美国海神叉水产公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
444,0,2011,trademark,p,(2011)一中知行初字第1886号,拉克索奥蒂卡美国控股公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
446,0,2011,trademark,p,(2011)一中知行初字第1702号,美国职业高尔夫球协会与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
455,0,2011,trademark,p,(2011)一中知行初字第122号,SKF美国公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
456,0,2011,trademark,p,(2011)一中知行初字第120号,SKF美国公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
457,0,2011,trademark,p,(2011)一中知行初字第250号,SKF美国公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
458,0,2011,trademark,p,(2011)一中知行初字第286号,西门子医疗解决方案美国有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
448,0,2010,trademark,p,(2010)一中知行初字第3700号,斯凯杰美国公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
454,1,2010,contract,p,(2010)浙嘉商外初字第20号,美国优耐智有限公司与海宁市供销公司买卖合同纠纷一审民事判决书
459,0,2010,trademark,p,(2010)一中知行初字第3377号,美国奥多比公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
460,0,2010,trademark,p,(2010)一中知行初字第2182号,美国高思公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
461,0,2010,trademark,p,(2010)一中知行初字第1304号,骏升发展（美国）有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
462,0,2010,trademark,p,(2010)一中知行初字第2183号,美国高思公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
463,0,2010,patent,p,(2010)一中知行初字第1933号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会专利行政纠纷案
464,0,2010,patent,p,(2010)一中知行初字第1939号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
465,0,2010,patent,p,(2010)一中知行初字第1940号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
466,0,2010,patent,p,(2010)一中知行初字第1937号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会专利行政纠纷案
468,0,2010,patent,p,(2010)一中知行初字第1935号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会专利行政纠纷案
469,0,2010,patent,p,(2010)一中知行初字第1936号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会专利行政纠纷案
472,0,2010,patent,p,(2010)一中知行初字第1942号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
474,0,2010,patent,p,(2010)一中知行初字第1938号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会专利行政纠纷案
475,0,2010,patent,p,(2010)一中知行初字第1941号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
476,0,2010,patent,p,(2010)一中知行初字第1932号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
477,0,2010,patent,p,(2010)一中知行初字第1837号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
478,0,2010,patent,p,(2010)一中知行初字第1835号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
479,0,2010,patent,p,(2010)一中知行初字第1836号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
480,0,2010,trademark,p,(2010)一中知行初字第3105号,美国通用磨坊食品公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
481,0,2010,trademark,p,(2010)一中知行初字第3104号,美国通用磨坊食品公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
482,0,2010,trademark,p,(2010)一中知行初字第2350号,美国杰圣工业有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
483,0,2010,trademark,p,(2010)一中知行初字第3103号,美国通用磨坊食品公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
484,0,2010,trademark,p,(2010)一中知行初字第3271号,美国科奈尔公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
485,0,2010,trademark,p,(2010)一中知行初字第2617号,（美国）复生希有限公司图形商标驳回复审纠纷案
491,0,2010,trademark,p,(2010)一中知行初字第1889号,骏升发展（美国）有限公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
492,1,2010,trademark,p,(2010)一中知行初字第835号,美国太子行与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
494,0,2010,trademark,p,(2010)一中知行初字第175号,美国高思公司与中华人民共和国国家工商行政管理总局商标评审委员会商标行政纠纷案
440,1,2009,contract,p,(2009)青民四初字第207号,美国轮胎进口股份有限公司与青岛光明轮胎有限公司国际货物买卖合同纠纷案
495,1,2009,trademark,p,(2009)二中民初字第18332号,哥伦比亚运动服装公司与北京秀水街市场有限公司、张一丙侵犯商标专用权纠纷案
496,1,2009,trademark,p,(2009)二中民初字第07936号,汤美•希尔弗格许可有限责任公司与北京秀水街市场有限公司、张先胜侵犯商标专用权纠纷案
498,0,2009,contract,d,(2009)二中民初字第20184号,普洱市孟嘎隆水电开发有限公司与美国纽博集团合同纠纷案
499,0,2009,patent,p,(2009)一中行初字第443号,美国微芯科技公司与中华人民共和国国家知识产权局专利复审委员会案
497,1,2008,contract,p,(2008)沪一中民五(商)初字第316号,美国联合生物医学公司与申联生物医药(上海)有限公司企业借贷纠纷案
79,0,2007,trademark,d,(2007)二中民初字第7560号,北京目的地国际旅游有限公司与第一品牌投资管理公司商标使用许可合同纠纷案
99,1,2007,trademark/competition,p,(2007)沪一中民五(知)初字第236号,原告埃克森美孚公司、美孚石油有限公司等诉被告美国美孚国际石油集团有限公司、西安焱青科技发展有限公司等侵犯商标专用权及不正当竞争纠纷一案
500,0,2007,copyright,d,(2007)一中民初字第13730号,北京溢海飞虹科技有限公司与美国艾斯兰公司计算机网络域名纠纷案
504,1,2007,trademark,p,上海市第一中级人民法院] [初字第181号,原告美国威斯康辛州花旗参农业总会诉被告上海华氏大药房有限公司、被告广东正韩药业股份有限公司商标侵权纠纷一案
505,1,2007,competition,p,(2007)二中民初字第17845号,金鹰公司与北京金鹰亚美国际商贸有限公司不正当竞争纠纷案
506,1,2007,trademark,p,(2007)沪一中民五(知)初字第181号,美国威斯康辛州花旗参农业总会与上海华氏大药房有限公司、广东正韩药业股份有限公司侵害商标权纠纷案
507,1,2007,trademark,p,(2007)二中民初字第6727号,金鹰公司与北京金鹰亚美国际商贸有限公司侵犯商标权纠纷案
508,1,2007,trademark,p,2007沪一中民五(知)初字第181号,美国威斯康辛州花旗参农业总会与上海华氏大药房有限公司、广东正韩药业股份有限公司侵害商标权纠纷案
11,1,2006, contract,p,(2006)成民初字第41号,
501,0,2006,contract,d,(2006)一中民初字第10888号,北京光明远景教育发展有限公司与美国环球经济技术交流公司合同纠纷案
509,0,2006,trademark,p,(2006)二中民初字第02150号,美国汽车配件总公司与北京三爱锐星汽车配件有限公司侵犯商标权纠纷案
510,1,2006,competition,d,(2006)二中民初字第00467号,北京正之本人体力学研究所与耐克（苏州）体育用品有限公司、美国耐克公司不正当竞争纠纷
101,1,2004,trademark,p,(2004)杭民三初字第393号, 新平衡运动鞋公司与陈家财、晋江市求质东亚鞋服实业有限公司、美国纽巴伦国际集团有限公司商标侵权纠纷、不正当竞争纠纷案 
102,0,2004,trademark,p,(2004)杭民三初字第394号,原告新平衡运动鞋公司诉被告陈家财、晋江市求质东亚鞋服实业有限公司 、美国纽巴伦国际集团有限公司商标侵权纠纷一案
103,1,2004,trademark,p,(2004)杭民三初字第395号,原告新平衡运动鞋公司诉被告陈家财、晋江市求质东亚鞋服实业有限公司 、美国纽巴伦国际集团有限公司商标侵权纠纷一案
106,0,2004,contract,d,(2004)沪一中民五(商)初字第24号,上海民光国际企业有限公司与美国新中冠公司买卖合同纠纷案
511,1,2004,competition,p,(2004)二中民初字第8007号,德纳公司与北京信德中实商贸有限公司不正当竞争纠纷案
512,1,2004,copyright,p,(2004)二中民初字第00748号,奥美尼有限公司与北京万网网络技术有限公司、扬州天音信息有限公司、扬州大唯进出口有限公司计算机网络域名纠纷案
513,1,2004,copyright,p,(2004)二中民初字第00750号,奥美尼有限公司与北京万网网络技术有限公司、扬州大唯进出口有限公司计算机网络域名纠纷案
514,0,2004,contract,d,(2004)沪一中民五(商)初字第20号,上海贤华皮革制品厂与宁兴（美国）有限公司合同纠纷案
515,0,2003,copyright,d,(2003)二中民初字第07939号,西安钻石网络有限责任公司与美国中国贸易协会有限公司侵犯著作权纠纷案
516,1,2003,copyright,p,(2003)二中民初字第6468号,匡威公司与北京国网信息有限责任公司计算机网络域名纠纷案
517,1,2003,copyright,p,(2003)沪一中民五(知)初字第29号,美国奥多比公司与丹诺梅格国际广告有限公司著作权侵权纠纷案
518,1,2002,contract,p,(2002)沪一中民五(商)初字第121号,美国ibc公司与中基宁波对外贸易股份有限公司、上海海岸贸易有限公司买卖合同纠纷案
522,0,2002,contract,d,(2002)沪一中民五(商)初字第50号, 鸿运国际运输服务有限公司上海分公司与怡通物流（美国）公司货运代理合同纠纷案 
523,0,2002,contract,d,(2002)沪一中民五(商)初字第40号,上海东方福达运输服务有限公司与怡通物流（美国）公司货运代理合同纠纷案